nama_kabupaten,tahun,tpt,hls,pengeluaran,ipm,kemiskinan
Kepulauan Mentawai,2015,235987,11.48,5684,57.41,235987
Pesisir Selatan,2015,333243,13.04,8412,68.07,333243
Solok,2015,339088,12.88,9334,67.12,339088
Sijunjung,2015,309209,11.94,9796,65.3,309209
Tanah Datar,2015,306560,13.35,10103,69.49,306560
Padang Pariaman,2015,331676,13.54,10260,68.04,331676
Agam,2015,279590,13.59,8859,69.84,279590
Lima Puluh Kota,2015,314949,12.76,8774,67.65,314949
Pasaman,2015,272779,12.7,7340,64.01,272779
Solok Selatan,2015,292292,12.37,9653,67.09,292292
Dharmasraya,2015,335151,12.36,10713,69.84,335151
Pasaman Barat,2015,329051,12.3,8109,65.26,329051
Kota Padang,2015,414612,15.6,13522,80.36,414612
Kota Solok,2015,370229,14.27,11350,76.83,370229
Kota Sawah Lunto,2015,293725,12.69,8931,69.87,293725
Kota Padang Panjang,2015,384969,15.01,9670,75.98,384969
Kota Bukittinggi,2015,379445,14.92,12330,78.72,379445
Kota Payakumbuh,2015,390151,14.21,12622,77.42,390151
Kota Pariaman,2015,359965,14.49,11814,74.98,359965
Kepulauan Mentawai,2016,263793,11.74,5771,58.27,263793
Pesisir Selatan,2016,366228,13.05,8605,68.39,366228
Solok,2016,376748,13,9664,67.67,376748
Sijunjung,2016,344153,12.27,9895,66.01,344153
Tanah Datar,2016,346267,13.46,10296,70.11,346267
Padang Pariaman,2016,374636,13.55,10455,68.44,374636
Agam,2016,315804,13.73,9111,70.36,315804
Lima Puluh Kota,2016,357824,13.25,8936,68.37,357824
Pasaman,2016,307552,12.71,7678,64.57,307552
Solok Selatan,2016,326733,12.51,9802,67.47,326733
Dharmasraya,2016,374642,12.39,10781,70.25,374642
Pasaman Barat,2016,367159,12.67,8393,66.03,367159
Kota Padang,2016,449658,15.87,13721,81.06,449658
Kota Solok,2016,385781,14.28,11519,77.07,385781
Kota Sawah Lunto,2016,318721,13.05,9051,70.67,318721
Kota Padang Panjang,2016,420981,15.02,9804,76.5,420981
Kota Bukittinggi,2016,420478,14.93,12475,79.11,420478
Kota Payakumbuh,2016,424233,14.22,12705,77.56,424233
Kota Pariaman,2016,392970,14.5,12141,75.44,392970
Kepulauan Mentawai,2017,280695,12.07,6010,59.25,280695
Pesisir Selatan,2017,390955,13.06,8819,68.74,390955
Solok,2017,400887,13.01,9743,67.86,400887
Sijunjung,2017,365074,12.34,10093,66.6,365074
Tanah Datar,2017,361037,13.59,10331,70.37,361037
Padang Pariaman,2017,385736,13.56,10579,68.9,385736
Agam,2017,327004,13.94,9388,71.1,327004
Lima Puluh Kota,2017,370506,13.26,9151,68.69,370506
Pasaman,2017,320478,12.72,7882,64.94,320478
Solok Selatan,2017,347667,12.68,9891,67.81,347667
Dharmasraya,2017,398408,12.4,10851,70.4,398408
Pasaman Barat,2017,382820,13.06,8704,66.83,382820
Kota Padang,2017,482763,16.15,13957,81.58,482763
Kota Solok,2017,413297,14.29,11673,77.44,413297
Kota Sawah Lunto,2017,337682,13.14,9343,71.13,337682
Kota Padang Panjang,2017,424298,15.03,10240,77.01,424298
Kota Bukittinggi,2017,441087,14.94,12816,79.8,441087
Kota Payakumbuh,2017,441736,14.23,12858,77.91,441736
Kota Pariaman,2017,412231,14.51,12425,75.71,412231
Kepulauan Mentawai,2018,294284,12.39,6211,60.28,294284
Pesisir Selatan,2018,409882,13.3,9089,69.4,409882
Solok,2018,408570,13.02,10035,68.6,408570
Sijunjung,2018,379046,12.35,10277,66.97,379046
Tanah Datar,2018,369833,13.88,10417,71.25,369833
Padang Pariaman,2018,402960,13.57,10919,69.71,402960
Agam,2018,341372,13.85,9489,71.7,341372
Lima Puluh Kota,2018,388689,13.27,9500,69.17,388689
Pasaman,2018,334800,12.78,8238,65.6,334800
Solok Selatan,2018,364498,12.69,10199,68.45,364498
Dharmasraya,2018,414096,12.41,11189,70.86,414096
Pasaman Barat,2018,402877,13.22,8979,67.43,402877
Kota Padang,2018,507042,16.5,14312,82.25,507042
Kota Solok,2018,414673,14.3,11968,77.89,414673
Kota Sawah Lunto,2018,354665,13.15,9765,71.72,354665
Kota Padang Panjang,2018,438075,15.04,10440,77.3,438075
Kota Bukittinggi,2018,459371,14.95,13035,80.11,459371
Kota Payakumbuh,2018,462243,14.24,13114,78.23,462243
Kota Pariaman,2018,431368,14.52,12611,76.26,431368
Kepulauan Mentawai,2019,310033,12.76,6429,61.26,310033
Pesisir Selatan,2019,431817,13.31,9444,70.08,431817
Solok,2019,415649,13.03,10309,69.08,415649
Sijunjung,2019,400861,12.36,10395,67.66,400861
Tanah Datar,2019,379041,14.32,10709,72.14,379041
Padang Pariaman,2019,411182,13.62,11158,70.59,411182
Agam,2019,379304,13.86,9780,72.37,379304
Lima Puluh Kota,2019,403030,13.28,9842,69.67,403030
Pasaman,2019,347153,12.79,8599,66.46,347153
Solok Selatan,2019,387438,12.7,10505,68.94,387438
Dharmasraya,2019,439117,12.42,11431,71.52,439117
Pasaman Barat,2019,417742,13.4,9180,68.21,417742
Kota Padang,2019,534857,16.51,14728,82.68,534857
Kota Solok,2019,440618,14.31,12337,78.38,440618
Kota Sawah Lunto,2019,374615,13.16,10238,72.39,374615
Kota Padang Panjang,2019,450377,15.05,11013,78,450377
Kota Bukittinggi,2019,475755,14.96,13586,80.71,475755
Kota Payakumbuh,2019,482184,14.25,13464,78.95,482184
Kota Pariaman,2019,446514,14.53,12958,76.7,446514
Kepulauan Mentawai,2020,340191,12.82,6281,63.71,340191
Pesisir Selatan,2020,467743,13.32,9212,70.87,467743
Solok,2020,451906,13.04,10171,70.44,451906
Sijunjung,2020,433147,12.37,10361,70.36,433147
Tanah Datar,2020,420049,14.33,10588,74.01,420049
Padang Pariaman,2020,455463,13.67,10998,72.8,455463
Agam,2020,424728,13.87,9651,73.11,424728
Lima Puluh Kota,2020,451295,13.29,9596,70.82,451295
Pasaman,2020,388726,12.8,8425,68.35,388726
Solok Selatan,2020,419442,12.71,10325,70.69,419442
Dharmasraya,2020,477421,12.43,11273,72.3,477421
Pasaman Barat,2020,467769,13.61,9047,70.3,467769
Kota Padang,2020,570654,16.52,14481,83.22,570654
